,reconstruction_error,run,iterations,k,noise
265,0.8310776462158241,0,201,370,Salt and Pepper p=0.5 r=1
266,0.8353323329943793,1,201,370,Salt and Pepper p=0.5 r=1
267,0.8300279368814492,2,201,370,Salt and Pepper p=0.5 r=1
268,0.83100152397687,3,201,370,Salt and Pepper p=0.5 r=1
269,0.8324538164795106,4,201,370,Salt and Pepper p=0.5 r=1
270,0.8364465777523471,0,201,370,Salt and Pepper p=0.7 r=0
271,0.836615510003342,1,201,370,Salt and Pepper p=0.7 r=0
272,0.8363149510663228,2,201,370,Salt and Pepper p=0.7 r=0
273,0.8367312332214754,3,201,370,Salt and Pepper p=0.7 r=0
274,0.8361916629593829,4,201,370,Salt and Pepper p=0.7 r=0
275,0.8954475884744998,0,201,370,Salt and Pepper p=0.7 r=0.5
276,0.8916949240281576,1,201,370,Salt and Pepper p=0.7 r=0.5
277,0.89432204289312,2,201,370,Salt and Pepper p=0.7 r=0.5
278,0.8934637619551786,3,201,370,Salt and Pepper p=0.7 r=0.5
279,0.8913350993708666,4,201,370,Salt and Pepper p=0.7 r=0.5
280,0.9998083361808688,0,201,370,Salt and Pepper p=0.7 r=1
281,0.9977389764383564,1,201,370,Salt and Pepper p=0.7 r=1
282,0.9977573707849412,2,201,370,Salt and Pepper p=0.7 r=1
283,0.9991766109743733,3,201,370,Salt and Pepper p=0.7 r=1
284,1.0031702425730584,4,201,370,Salt and Pepper p=0.7 r=1
285,0.948389076112331,0,97,370,Salt and Pepper p=0.9 r=0
286,0.948730744259079,1,201,370,Salt and Pepper p=0.9 r=0
287,0.9487564434317658,2,126,370,Salt and Pepper p=0.9 r=0
288,0.9486508422117736,3,144,370,Salt and Pepper p=0.9 r=0
289,0.9484157285347118,4,106,370,Salt and Pepper p=0.9 r=0
290,1.0223306971990624,0,201,370,Salt and Pepper p=0.9 r=0.5
291,1.0231695142236772,1,201,370,Salt and Pepper p=0.9 r=0.5
292,1.0181562935028754,2,201,370,Salt and Pepper p=0.9 r=0.5
293,1.0187853234998268,3,201,370,Salt and Pepper p=0.9 r=0.5
294,1.0162611470106766,4,201,370,Salt and Pepper p=0.9 r=0.5
295,1.1584182907451666,0,201,370,Salt and Pepper p=0.9 r=1
296,1.1543773008433986,1,201,370,Salt and Pepper p=0.9 r=1
297,1.1470077615417222,2,201,370,Salt and Pepper p=0.9 r=1
298,1.1518772881275912,3,201,370,Salt and Pepper p=0.9 r=1
299,1.1488442785191624,4,201,370,Salt and Pepper p=0.9 r=1
300,0.29821135860594516,0,201,493,Salt and Pepper p=0.1 r=0
301,0.29728286662311215,1,201,493,Salt and Pepper p=0.1 r=0
302,0.2978283287244751,2,201,493,Salt and Pepper p=0.1 r=0
303,0.2990047160106341,3,201,493,Salt and Pepper p=0.1 r=0
304,0.2970017789006302,4,201,493,Salt and Pepper p=0.1 r=0
305,0.33910186603077874,0,201,493,Salt and Pepper p=0.1 r=0.5
306,0.337686861386674,1,201,493,Salt and Pepper p=0.1 r=0.5
307,0.338272263793739,2,201,493,Salt and Pepper p=0.1 r=0.5
308,0.3403566291828789,3,201,493,Salt and Pepper p=0.1 r=0.5
309,0.3384695856998748,4,201,493,Salt and Pepper p=0.1 r=0.5
310,0.3797728595154976,0,201,493,Salt and Pepper p=0.1 r=1
311,0.3814003776361759,1,201,493,Salt and Pepper p=0.1 r=1
312,0.3819863209710055,2,201,493,Salt and Pepper p=0.1 r=1
313,0.3806361705665658,3,201,493,Salt and Pepper p=0.1 r=1
314,0.38169231207718646,4,201,493,Salt and Pepper p=0.1 r=1
315,0.5323849043349518,0,201,493,Salt and Pepper p=0.3 r=0
316,0.5314744544850778,1,201,493,Salt and Pepper p=0.3 r=0
317,0.5314333788929818,2,201,493,Salt and Pepper p=0.3 r=0
318,0.5323410973438429,3,201,493,Salt and Pepper p=0.3 r=0
319,0.5310256830014216,4,201,493,Salt and Pepper p=0.3 r=0
320,0.5980074066794212,0,201,493,Salt and Pepper p=0.3 r=0.5
321,0.5984096307324325,1,201,493,Salt and Pepper p=0.3 r=0.5
322,0.598990180061665,2,201,493,Salt and Pepper p=0.3 r=0.5
323,0.5995929335025297,3,201,493,Salt and Pepper p=0.3 r=0.5
324,0.5961672361118473,4,201,493,Salt and Pepper p=0.3 r=0.5
325,0.6555376042753321,0,201,493,Salt and Pepper p=0.3 r=1
326,0.6543153715764292,1,201,493,Salt and Pepper p=0.3 r=1
327,0.6567818578995483,2,201,493,Salt and Pepper p=0.3 r=1
328,0.6567993732726334,3,201,493,Salt and Pepper p=0.3 r=1
329,0.6548761566024636,4,201,493,Salt and Pepper p=0.3 r=1
330,0.7054221424456412,0,201,493,Salt and Pepper p=0.5 r=0
331,0.7048928003574536,1,201,493,Salt and Pepper p=0.5 r=0
332,0.7050737324386164,2,201,493,Salt and Pepper p=0.5 r=0
333,0.7049898371580536,3,201,493,Salt and Pepper p=0.5 r=0
334,0.7043760738177007,4,201,493,Salt and Pepper p=0.5 r=0
335,0.7759121828183906,0,201,493,Salt and Pepper p=0.5 r=0.5
336,0.776534397766507,1,201,493,Salt and Pepper p=0.5 r=0.5
337,0.7830197435467973,2,201,493,Salt and Pepper p=0.5 r=0.5
338,0.7784388642229524,3,201,493,Salt and Pepper p=0.5 r=0.5
339,0.7767510518637526,4,201,493,Salt and Pepper p=0.5 r=0.5
340,0.8500612056502006,0,201,493,Salt and Pepper p=0.5 r=1
341,0.8478362854131707,1,201,493,Salt and Pepper p=0.5 r=1
342,0.843503808078628,2,201,493,Salt and Pepper p=0.5 r=1
343,0.847025177835719,3,201,493,Salt and Pepper p=0.5 r=1
344,0.8444558871534565,4,201,493,Salt and Pepper p=0.5 r=1
345,0.8371147296996394,0,201,493,Salt and Pepper p=0.7 r=0
346,0.8374643347532771,1,201,493,Salt and Pepper p=0.7 r=0
347,0.8371957720286664,2,201,493,Salt and Pepper p=0.7 r=0
348,0.8368669206987581,3,201,493,Salt and Pepper p=0.7 r=0
349,0.8366435587266319,4,201,493,Salt and Pepper p=0.7 r=0
350,0.9273977029614086,0,201,493,Salt and Pepper p=0.7 r=0.5
351,0.927088537244913,1,201,493,Salt and Pepper p=0.7 r=0.5
352,0.9258284125781535,2,201,493,Salt and Pepper p=0.7 r=0.5
353,0.924202462260787,3,201,493,Salt and Pepper p=0.7 r=0.5
354,0.9285848739447703,4,201,493,Salt and Pepper p=0.7 r=0.5
355,1.0078111758838433,0,201,493,Salt and Pepper p=0.7 r=1
356,1.0107657268052448,1,201,493,Salt and Pepper p=0.7 r=1
357,1.0059351682199922,2,201,493,Salt and Pepper p=0.7 r=1
358,1.0059264831220245,3,201,493,Salt and Pepper p=0.7 r=1
359,1.0148215973848576,4,201,493,Salt and Pepper p=0.7 r=1
360,0.9487802854474351,0,201,493,Salt and Pepper p=0.9 r=0
361,0.9488347899307675,1,201,493,Salt and Pepper p=0.9 r=0
362,0.9488253110426093,2,201,493,Salt and Pepper p=0.9 r=0
363,0.9487707042419822,3,201,493,Salt and Pepper p=0.9 r=0
364,0.94866479913216,4,201,493,Salt and Pepper p=0.9 r=0
365,1.0539295875363988,0,201,493,Salt and Pepper p=0.9 r=0.5
366,1.0510511042694899,1,201,493,Salt and Pepper p=0.9 r=0.5
367,1.0542674165996215,2,201,493,Salt and Pepper p=0.9 r=0.5
368,1.0549228556165298,3,201,493,Salt and Pepper p=0.9 r=0.5
369,1.0550662329057945,4,201,493,Salt and Pepper p=0.9 r=0.5
370,1.1556871746364787,0,201,493,Salt and Pepper p=0.9 r=1
371,1.1555476227050747,1,201,493,Salt and Pepper p=0.9 r=1
372,1.1562603845308,2,201,493,Salt and Pepper p=0.9 r=1
373,1.1559713879931794,3,201,493,Salt and Pepper p=0.9 r=1
374,1.1568628407864416,4,201,493,Salt and Pepper p=0.9 r=1
375,0.3033169498749954,0,201,617,Salt and Pepper p=0.1 r=0
376,0.30377536053476006,1,201,617,Salt and Pepper p=0.1 r=0
377,0.303526192661057,2,201,617,Salt and Pepper p=0.1 r=0
378,0.3039361647700746,3,201,617,Salt and Pepper p=0.1 r=0
379,0.3045483886348379,4,201,617,Salt and Pepper p=0.1 r=0
380,0.34679925322916444,0,201,617,Salt and Pepper p=0.1 r=0.5
381,0.344914378638771,1,201,617,Salt and Pepper p=0.1 r=0.5
382,0.3453610502255427,2,201,617,Salt and Pepper p=0.1 r=0.5
